,index,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_code,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)","Energie, N x facteur Jones, avec fibres  (kJ/100 g)","Energie, N x facteur Jones, avec fibres  (kcal/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)","Protéines, N x 6.25 (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG saturés (g/100 g),AG monoinsaturés (g/100 g),AG polyinsaturés (g/100 g),"AG 4:0, butyrique (g/100 g)","AG 6:0, caproïque (g/100 g)","AG 8:0, caprylique (g/100 g)","AG 10:0, caprique (g/100 g)","AG 12:0, laurique (g/100 g)","AG 14:0, myristique (g/100 g)","AG 16:0, palmitique (g/100 g)","AG 18:0, stéarique (g/100 g)","AG 18:1 9c (n-9), oléique (g/100 g)","AG 18:2 9c,12c (n-6), linoléique (g/100 g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g)",Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),Beta-Carotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K1 (µg/100 g),Vitamine K2 (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou PP ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g),Nom du Produit en Français,LCI Name,DQR - Note de qualité de la donnée (1 excellente ; 5 très faible),Score unique EF (mPt/kg de produit),Changement climatique (kg CO2 eq/kg de produit),Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),Rayonnements ionisants (kBq U-235 eq/kg de produit),Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),Particules (E-06 disease inc./kg de produit),Acidification terrestre et eaux douces (mol H+ eq/kg de produit),Eutrophisation terreste (mol N eq/kg de produit),Eutrophisation eaux douces (E-03 kg P eq/kg de produit),Eutrophisation marine (E-03 kg N eq/kg de produit),Utilisation du sol (Pt/kg de produit),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),Épuisement des ressources eau (m3 depriv./kg de produit),Épuisement des ressources énergétiques (MJ/kg de produit),Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit)
0,0,entrées et plats composés,salades composées et crudités,25601,0.0,0.0,0.0,76.5,9.15,9.15,7.74,4.7,3.08,0.82,0.0,0.78,0.0,0.3,0.97,4.1,2.7,0.0,1.79,0.0,0.0,0.56,1.83,1.76,0.05,0.05,0.05,0.05,0.05,0.008,0.38,0.12,0.0,1.15,0.056,0.0,0.008,0.039,19.2,1.11,20.7,731.0,0.1,1.1,2.0,25.1,0.1,88.4,232.0,0.0,445.0,0.6,2.0,0.0,0.5,1.6,0.0,0.0,2.75,0.04,0.053,4.45,0.16,0.29,31.0,1.45,"Salade de thon et légumes, appertisée, égouttée","Prepared mixed tuna and vegetable salad, canned, drained",2.59,0.91,5.15,1.14,2.09,81.49,0.86,0.12,0.33,0.75,32.85,85.51,99.22,4.47,101.63,19.94
1,1,entrées et plats composés,salades composées et crudités,25602,0.0,0.0,0.0,76.7,8.06,8.06,6.4,5.3,1.9,0.7,0.0,0.6,0.2,0.2,0.6,3.3,2.0,0.0,1.5,0.0,0.0,0.16,3.27,1.54,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.04,2.24,1.08,0.28,0.016,0.016,0.15,15.2,0.95,22.0,584.0,0.07,0.7,20.0,20.0,0.1,92.0,220.0,30.0,381.0,0.38,21.0,781.0,0.44,2.04,9.75,0.0,0.0,0.032,0.022,4.13,0.2,0.12,11.1,1.23,"Salade composée avec viande ou poisson, appertisée, égouttée","Prepared mixed meat/fish canned, drained salad",2.68,2.87,16.52,3.74,2.84,328.59,3.33,0.48,1.27,1.23,117.3,62.69,187.65,3.16,265.03,31.65
2,2,entrées et plats composés,salades composées et crudités,25605,0.0,0.0,0.0,85.2,2.08,2.08,3.95,3.55,2.38,0.7,0.0,1.0,0.3,0.3,0.3,0.99,2.35,0.0,1.65,0.0,0.0,0.23,0.2,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.11,1.26,27.0,0.0,0.17,1.06,2.46,13.5,0.13,64.1,277.0,1.79,500.0,0.4,0.0,747.0,0.0,1.08,0.0,0.0,6.67,0.056,0.21,1.84,0.88,0.088,19.6,0.018,Champignon à la grecque,Greek-style marinated mushrooms,2.38,0.16,0.88,0.13,0.32,3.71,0.05,0.01,0.02,0.18,4.04,15.52,80.99,4.47,16.99,3.11
3,3,entrées et plats composés,salades composées et crudités,25606,0.0,0.0,0.0,76.0,2.68,2.68,9.9,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.95,0.0,0.0,1.43,2.48,3.74,0.0,0.0,0.0,0.0,0.011,0.013,1.03,0.37,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.32,19.0,0.0,0.12,0.65,0.0,15.0,0.1,52.0,254.0,0.0,529.0,0.31,29.0,36.0,0.0,0.0,0.0,0.0,10.0,0.077,0.06,0.89,0.53,0.14,7.0,0.0,Salade de pommes de terre maison,"Prepared potatoes salad, home-made",1.72,0.56,4.1,0.36,1.92,9.07,0.47,0.07,0.29,0.65,17.08,206.5,86.05,3.35,62.02,5.63
4,4,entrées et plats composés,salades composées et crudités,25608,179.0,753.0,179.0,60.3,4.88,4.88,23.7,6.7,4.9,2.0,0.2,1.5,0.2,1.4,0.2,17.7,2.5,0.9,1.52,0.0,0.38,0.67,4.23,1.45,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.15,3.95,1.1,0.34,0.01,0.01,0.01,0.1,1.0,24.0,647.0,0.16,0.88,20.0,25.0,0.4,80.0,210.0,20.0,399.0,0.65,0.0,149.0,0.0,1.26,10.6,0.0,6.27,0.087,0.024,0.5,0.26,0.052,14.5,0.0,"Taboulé ou Salade de couscous, préemballé","Tabbouleh, prepacked",2.09,0.16,0.91,0.11,0.31,3.41,0.1,0.01,0.06,0.25,6.77,80.14,34.98,1.98,16.35,3.09
5,5,entrées et plats composés,salades composées et crudités,25609,130.0,542.0,130.0,75.8,4.5,4.5,8.87,8.3,1.2,0.5,0.2,0.7,0.2,0.2,0.2,6.0,0.5,0.5,1.74,0.0,0.54,0.82,5.02,2.04,0.01,0.01,0.01,0.01,0.01,0.01,0.54,0.2,4.57,1.47,0.57,0.01,0.01,0.01,29.6,1.08,13.0,709.0,0.07,0.43,20.0,16.0,0.08,72.0,300.0,20.0,433.0,0.49,21.0,93.6,0.5,3.96,10.9,0.0,21.6,0.08,0.049,0.98,0.44,0.099,21.6,0.0,"Salade de pomme de terre à la piémontaise, préemballée","Potato salad, piémontaise-style, prepacked",1.84,0.45,2.77,0.29,1.4,7.74,0.37,0.05,0.22,0.54,14.44,162.67,92.56,3.7,47.68,5.01
6,6,entrées et plats composés,salades composées et crudités,25614,0.0,0.0,0.0,72.5,5.13,5.13,16.1,4.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,1.7,0.0,1.49,0.0,0.0,0.53,2.23,0.0,0.0,0.0,0.0,0.0,0.0042,0.0083,0.36,0.12,2.23,1.05,0.2,0.0,0.0,0.013,6.5,1.1,23.3,0.0,0.1,0.43,5.0,13.1,0.1,66.6,143.0,17.7,431.0,0.3,2.0,34.0,0.5,1.63,0.0,0.0,4.48,0.058,0.045,2.65,0.14,0.13,33.5,0.43,Salade de riz,Prepared rice salad,2.06,0.2,1.22,0.17,0.71,4.16,0.08,0.01,0.04,0.24,6.25,65.44,37.1,5.06,26.94,3.1
7,7,entrées et plats composés,salades composées et crudités,25615,0.0,0.0,0.0,72.6,5.7,5.7,13.7,8.1,2.3,0.6,0.0,0.6,0.0,0.1,0.8,10.0,1.7,0.0,1.18,0.0,0.0,2.37,1.46,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.04,14.0,86.0,0.06,0.6,4.0,11.0,0.2,37.0,84.0,0.0,51.0,0.4,7.0,1180.0,0.0,1.95,0.0,0.0,21.0,0.04,0.02,0.4,0.0,0.09,16.0,0.0,"Salade de pâtes, végétarienne","Prepared pasta salad, vegetarian",1.91,0.3,2.12,0.21,0.83,7.86,0.21,0.03,0.1,0.65,11.24,112.43,72.23,1.53,37.35,5.55
8,8,entrées et plats composés,salades composées et crudités,25619,0.0,0.0,0.0,70.5,5.19,5.19,14.0,9.94,2.16,1.04,0.0,0.86,0.0,0.28,0.26,7.92,1.98,0.0,1.4,0.0,0.0,1.74,5.85,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0098,11.3,0.95,19.0,492.0,0.085,0.95,3.13,23.3,0.15,69.4,193.0,5.3,378.0,0.53,11.0,494.0,0.12,1.18,0.0,0.0,12.3,0.064,0.057,1.77,0.28,0.14,18.4,0.14,"Salade de pâtes aux légumes, avec poisson ou viande","Prepared pasta salad, with vegetable, meat or fish",2.31,0.43,2.73,0.4,0.9,24.37,0.38,0.05,0.17,0.66,17.65,134.25,53.95,1.61,47.45,8.61
9,9,entrées et plats composés,salades composées et crudités,25628,0.0,0.0,0.0,71.8,8.13,8.13,4.88,10.0,1.71,0.6,0.0,0.51,0.2,0.6,0.2,3.17,2.0,0.0,1.54,0.0,1.66,2.36,4.99,2.09,0.08,0.05,0.03,0.06,0.08,0.26,1.26,0.41,4.6,1.7,0.39,0.01,0.01,0.01,40.7,0.75,100.0,483.0,0.11,0.5,20.0,19.0,0.15,150.0,300.0,20.0,301.0,0.69,27.9,627.0,0.25,2.24,32.0,0.0,1.11,0.096,0.068,2.29,0.47,0.094,29.3,0.48,"Salade César au poulet (salade verte, fromage, croûtos, sauce)","Caesar's salad (salad, chicken, croûtons, sauce)",2.22,0.37,2.81,0.24,0.53,7.44,0.3,0.04,0.18,0.5,10.48,129.78,68.24,3.53,30.85,5.69
10,10,entrées et plats composés,salades composées et crudités,26259,105.0,435.0,105.0,80.4,0.94,0.94,5.78,8.1,4.72,0.85,0.0,1.06,0.2,0.2,2.82,0.35,3.0,1.06,1.45,0.0,0.34,0.63,4.83,2.2,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.13,4.39,1.54,0.66,0.01,0.01,0.01,0.0,0.88,39.0,556.0,0.03,1.3,20.0,9.3,0.26,29.0,210.0,20.0,353.0,0.27,0.0,1340.0,0.25,2.21,23.0,0.0,21.6,0.026,0.01,0.1,0.21,0.093,14.6,0.0,"Salade de chou ou Coleslaw, avec sauce, préemballée","Coleslaw, w sauce, prepacked",2.65,0.17,1.12,0.13,0.33,4.17,0.11,0.01,0.06,0.18,7.34,61.16,52.89,1.87,17.87,3.17
11,11,entrées et plats composés,salades composées et crudités,26269,0.0,0.0,0.0,62.6,6.4,6.4,20.6,7.45,2.48,0.8,0.0,0.8,0.2,0.7,0.2,16.6,2.02,0.0,1.59,0.0,0.0,0.86,3.78,1.75,0.01,0.01,0.01,0.01,0.02,0.02,0.57,0.15,3.78,1.33,0.42,0.01,0.01,0.01,8.24,1.05,18.0,661.0,0.1,0.8,20.0,24.0,0.32,100.0,190.0,20.0,424.0,0.65,21.0,135.0,0.25,1.48,3.22,0.0,0.5,0.14,0.045,1.16,0.4,0.096,96.5,0.1,"Taboulé ou Salade de couscous au poulet, préemballé","Tabbouleh with chicken, prepacked",2.19,0.29,1.8,0.19,0.4,6.14,0.23,0.03,0.14,0.46,10.55,122.36,61.56,2.49,25.28,4.52
12,12,entrées et plats composés,soupes,25900,55.0,232.0,55.0,85.8,3.74,3.74,6.6,1.12,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.24,0.0,0.0,0.45,0.52,0.13,0.0,0.0,0.0,0.0,0.0,0.02,0.27,0.16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.36,25.0,0.0,0.17,1.07,4.0,19.0,0.24,74.0,144.0,16.1,143.0,0.61,0.0,430.0,0.0,0.0,0.0,0.0,1.7,0.07,0.045,0.55,0.14,0.09,20.0,0.12,"Soupe aux lentilles, préemballée à réchauffer","Soup, lentils, prepacked, to be reheated",2.59,0.08,0.44,0.12,0.71,1.38,0.03,0.0,0.01,0.14,2.32,22.6,23.84,0.72,19.52,1.64
13,13,entrées et plats composés,soupes,25901,30.8,129.0,30.8,0.0,3.09,3.09,2.6,0.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.75,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.11,"Soupe à la volaille et aux légumes, préemballée à réchauffer","Soup, chicken and vegetables, prepacked, to be reheated",3.31,0.01,0.02,0.01,0.09,0.06,0.0,0.0,0.0,0.01,0.03,0.35,1.25,0.06,2.03,0.11
14,14,entrées et plats composés,soupes,25903,39.4,165.0,39.4,90.2,0.76,0.76,5.05,1.56,1.72,0.29,0.0,0.29,0.2,0.2,1.15,2.2,1.1,0.0,1.0,0.0,0.0,0.55,0.5,0.11,0.026,0.017,0.0086,0.017,0.026,0.077,0.28,0.094,0.44,0.1,0.0063,0.01,0.01,0.01,3.7,0.69,14.0,442.0,0.02,0.14,20.0,5.3,0.04,19.0,110.0,20.0,275.0,0.11,21.0,1710.0,0.0,0.62,2.53,0.0,5.75,0.29,0.062,0.31,0.33,0.16,39.8,0.052,"Soupe aux légumes variés, préemballée à réchauffer","Soup, mixed vegetables, prepacked, to be reheated",2.42,0.09,0.5,0.12,0.72,1.69,0.04,0.0,0.01,0.13,2.1,17.34,28.47,1.05,19.96,1.75
15,15,entrées et plats composés,soupes,25904,42.8,179.0,42.8,89.4,3.45,3.45,2.88,1.79,0.9,0.3,0.0,0.3,0.3,0.2,0.2,1.7,0.69,0.0,1.66,0.0,0.0,0.58,0.93,0.25,0.01,0.01,0.01,0.01,0.01,0.07,0.29,0.08,0.71,0.13,0.035,0.01,0.035,0.053,30.0,0.86,130.0,611.0,0.07,0.61,70.0,11.0,0.05,80.0,110.0,20.0,343.0,0.25,59.8,446.0,0.2,0.32,0.93,0.0,0.5,0.03,0.039,0.63,0.18,0.032,5.0,1.35,"Soupe de poissons et / ou crustacés, préemballée à réchauffer","Soup, fish and/or crustacean, prepacked, to be reheated",2.56,1.24,6.9,1.57,1.14,135.78,1.38,0.2,0.53,0.56,50.31,37.23,101.04,2.05,111.7,32.24
16,16,entrées et plats composés,soupes,25905,34.5,144.0,34.5,90.9,0.86,0.86,4.43,1.22,1.07,0.2,0.0,0.2,0.2,0.2,0.7,2.6,1.16,0.0,1.02,0.0,0.0,0.39,0.45,0.091,0.0045,0.01,0.01,0.01,0.009,0.023,0.3,0.05,0.45,0.081,0.01,0.01,0.01,0.01,2.12,0.69,21.0,426.0,0.03,0.19,1.0,7.0,0.05,12.5,60.0,20.0,276.0,0.12,21.0,261.0,0.0,0.19,2.42,0.0,3.28,0.05,0.24,0.13,0.12,0.044,8.4,0.029,"Soupe aux légumes variés, déshydratée reconstituée","Soup, mixed vegetables, dehydrated and reconstituted",2.72,0.12,0.4,0.18,1.77,1.39,0.03,0.0,0.01,0.12,2.01,12.53,19.65,1.18,39.63,1.45
17,17,entrées et plats composés,soupes,25907,37.1,155.0,37.1,90.8,0.79,0.79,4.46,1.51,0.81,0.2,0.0,0.3,0.2,0.2,0.2,3.2,1.28,0.0,0.97,0.0,0.0,0.6,0.53,0.27,0.032,0.019,0.013,0.025,0.032,0.089,0.28,0.1,0.53,0.18,0.09,0.01,0.01,0.01,4.73,0.73,16.0,450.0,0.02,0.17,20.0,5.6,0.04,16.0,94.0,20.0,290.0,0.13,21.0,120.0,0.0,0.28,9.13,0.0,7.95,0.01,0.03,0.23,0.14,0.23,29.3,0.045,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer","Soup, leek and potato, prepacked, to be reheated",2.51,0.08,0.44,0.12,0.71,1.34,0.03,0.0,0.01,0.12,1.58,12.95,23.0,0.61,19.15,1.27
18,18,entrées et plats composés,soupes,25908,30.8,129.0,30.8,93.8,1.3,1.3,3.86,1.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.01,0.0,0.0,0.49,0.29,0.18,0.0,0.0,0.0,0.0,0.001,0.005,0.2,0.053,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.82,7.96,0.0,0.069,0.14,0.5,7.93,0.057,17.0,30.5,10.0,326.0,0.1,1.0,119.0,0.0,0.03,0.0,0.0,0.0,0.055,0.045,0.54,0.074,0.02,2.0,0.02,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer","Soup, chicken and vermicelli, prepacked, to be reheated",2.45,0.16,0.9,0.16,0.78,2.91,0.09,0.01,0.05,0.24,4.29,38.28,41.81,2.39,24.82,3.46
19,19,entrées et plats composés,soupes,25910,40.4,169.0,40.4,92.7,1.35,1.35,4.93,1.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,1.27,0.0,0.0,0.55,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,12.0,0.0,0.054,0.27,0.0,1.0,0.098,4.0,28.0,0.0,315.0,0.25,1.0,1.0,0.0,0.11,0.2,0.0,0.5,0.013,0.01,0.24,0.0,0.02,6.0,0.0,"Soupe à l'oignon, préemballée à réchauffer","Soup, onions, prepacked, to be reheated",2.01,0.12,0.85,0.13,0.75,1.93,0.06,0.01,0.03,0.17,3.31,39.4,28.1,0.88,20.79,1.48
20,20,entrées et plats composés,soupes,25912,48.2,201.0,48.2,92.0,0.81,0.81,4.09,3.07,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.0,0.0,0.0,1.58,0.4,0.96,0.014,0.011,0.0087,0.022,0.024,0.092,0.68,0.15,0.4,0.31,0.01,0.0,0.0,0.0,3.3,0.78,7.0,490.0,0.016,0.09,8.4,2.0,0.018,12.0,62.0,0.0,312.0,0.06,5.5,0.0,0.1,0.24,9.6,0.0,0.0,0.006,0.008,0.17,0.072,0.007,1.0,0.0,"Soupe aux champignons, préemballée à réchauffer","Soup, mushrooms, prepacked, to be reheated",2.16,0.2,1.85,0.17,0.76,3.68,0.11,0.01,0.05,0.32,6.01,62.79,37.39,2.38,24.04,3.36
21,21,entrées et plats composés,soupes,25913,33.2,139.0,33.2,91.2,0.61,0.61,3.89,1.41,1.82,0.0,0.0,0.0,0.0,0.0,0.0,2.08,1.22,0.0,1.05,0.0,0.0,0.96,0.36,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,15.0,0.0,0.0,0.3,0.0,7.0,0.0,20.0,140.0,0.0,259.0,0.0,4.0,3500.0,0.0,0.0,0.0,0.0,11.0,0.05,0.0,0.65,0.0,0.08,9.0,0.0,"Soupe à la carotte, préemballée à réchauffer","Soup, carrots, prepacked, to be reheated",2.42,0.09,0.44,0.12,0.71,1.34,0.03,0.0,0.01,0.13,1.77,15.58,30.07,1.1,19.51,1.76
22,22,entrées et plats composés,soupes,25914,38.7,163.0,38.7,90.3,0.74,0.74,6.27,0.99,2.95,0.9,0.0,0.8,0.2,0.2,1.2,1.8,0.88,0.0,0.98,0.0,0.0,0.36,0.29,0.3,0.016,0.0079,0.01,0.0079,0.016,0.055,0.2,0.063,0.28,0.15,0.02,0.01,0.01,0.01,2.9,0.64,11.0,416.0,0.03,0.14,20.0,5.9,0.04,15.0,130.0,20.0,259.0,0.08,21.0,1680.0,0.6,0.69,1.01,0.0,6.4,0.01,0.056,0.58,0.2,0.2,23.8,0.01,"Soupe à la tomate, préemballée à réchauffer","Soup, tomatoes, prepacked, to be reheated",2.59,0.07,0.41,0.11,0.71,1.14,0.03,0.0,0.01,0.11,1.21,6.96,20.82,0.59,19.2,1.65
23,23,entrées et plats composés,soupes,25915,62.9,263.0,62.9,85.1,3.75,3.75,5.4,2.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3.9,1.9,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.84,19.0,0.0,0.07,0.97,2.0,17.0,0.31,54.0,157.0,1.4,337.0,0.84,4.4,172.0,0.02,0.6,0.0,0.0,3.2,0.03,0.04,0.96,0.18,0.07,16.0,0.11,"Soupe chorba frik, à base de viande et de frik","Soup, chorba frik, w meat and frik",2.31,0.54,4.97,0.25,1.13,7.76,0.48,0.07,0.31,0.44,16.71,404.64,58.7,1.95,37.36,3.93
24,24,entrées et plats composés,soupes,25916,48.8,204.0,48.8,89.4,1.2,1.2,5.6,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.0,0.0,0.0,0.6,0.34,0.29,0.03,0.02,0.01,0.02,0.03,0.05,0.2,0.095,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.75,33.3,460.0,0.11,0.56,1.0,12.5,0.11,34.5,106.0,2.2,300.0,0.19,0.0,885.0,0.0,0.67,3.2,0.0,1.25,0.023,0.034,0.44,0.22,0.071,10.0,0.0,"Soupe minestrone, préemballée à réchauffer","Soup, minestrone, prepacked, to be reheated",2.56,0.12,0.55,0.13,0.72,2.05,0.04,0.0,0.02,0.16,2.7,26.98,48.52,1.96,20.39,2.01
25,25,entrées et plats composés,soupes,25917,30.4,128.0,30.4,89.4,1.2,1.2,5.2,0.35,1.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8,0.0,1.08,0.0,0.0,0.2,0.23,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.64,19.0,0.0,0.1,0.4,1.0,14.0,0.1,24.0,132.0,2.2,256.0,0.19,0.0,900.0,0.0,0.2,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.07,18.0,0.0,"Soupe au pistou, déshydratée reconstituée","Soup, pistou (basil, garlic and olive oil), dehydrated and reconstituted",2.64,0.15,0.45,0.19,1.77,1.75,0.04,0.0,0.02,0.15,2.61,22.16,39.7,2.1,40.06,1.71
26,26,entrées et plats composés,soupes,25919,29.0,122.0,29.0,90.6,0.91,0.91,5.09,0.5,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1.15,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Soupe de poissons et / ou crustacés, déshydratée reconstituée","Soup, fish and/or crustacean, dehydrated and reconstituted",2.79,1.27,6.8,1.62,2.2,135.45,1.37,0.2,0.53,0.55,50.21,32.41,92.21,2.18,131.35,31.93
27,27,entrées et plats composés,soupes,25923,29.8,126.0,29.8,93.3,0.97,0.97,5.25,0.44,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.96,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Soupe asiatique, avec pâtes, déshydratée reconstituée","Soup, Asian-style with noodles, dehydrated and reconstituted",2.9,0.3,1.89,0.32,1.86,8.13,0.14,0.02,0.05,0.69,6.82,64.95,79.26,2.29,56.68,6.16
28,28,entrées et plats composés,soupes,25924,34.3,145.0,34.3,90.0,1.2,1.2,5.77,0.55,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,1.08,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Soupe marocaine, déshydratée reconstituée","Soup, Moroccan, dehydrated and reconstituted",2.83,0.54,4.59,0.26,1.89,7.13,0.47,0.07,0.31,0.39,16.51,399.46,47.07,1.81,47.37,3.28
29,29,entrées et plats composés,soupes,25925,26.1,110.0,26.1,92.8,0.63,0.63,4.84,0.41,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.013,0.023,0.0,292.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,30.0,0.07,0.0,0.8,0.27,0.0,0.0,0.0,"Soupe aux poireaux et pommes de terre, déshydratée reconstituée","Soup, leek and potato, dehydrated and reconstituted",2.77,0.11,0.34,0.17,1.76,1.04,0.03,0.0,0.01,0.1,1.49,8.14,14.19,0.74,38.82,0.97
30,30,entrées et plats composés,soupes,25928,27.3,115.0,27.3,0.0,0.99,0.99,4.58,0.44,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.73,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.03,8.0,0.0,"Soupe à la volaille et aux légumes, déshydratée reconstituée","Soup, chicken and vegetables, dehydrated and reconstituted",2.89,0.01,0.02,0.01,0.09,0.06,0.0,0.0,0.0,0.01,0.03,0.35,1.25,0.06,2.03,0.11
